ID,ParentId,Name,ShortName,MergerName,山西,LevelType,CityCode,ZipCode,lng,Lat,port mapping,border maping
330502,330500,吴兴区,吴兴,"中国,浙江省,湖州市,吴兴区",Wuxing,3,572,313000,12.012.548,3.085.752,,
330503,330500,南浔区,南浔,"中国,浙江省,湖州市,南浔区",Nanxun,3,572,313009,12.042.038,3.086.686,,
330521,330500,德清县,德清,"中国,浙江省,湖州市,德清县",Deqing,3,572,313200,11.997.836,3.053.369,,
330522,330500,长兴县,长兴,"中国,浙江省,湖州市,长兴县",Changxing,3,572,313100,11.990.783,3.100.606,,
330523,330500,安吉县,安吉,"中国,浙江省,湖州市,安吉县",Anji,3,572,313300,11.968.158,3.063.798,,
330600,330000,绍兴市,绍兴,"中国,浙江省,绍兴市",Shaoxing,2,575,312000,120.582.112,29.997.117,1A7,
330602,330600,越城区,越城,"中国,浙江省,绍兴市,越城区",Yuecheng,3,575,312000,1.205.819,2.998.895,,
330603,330600,柯桥区,柯桥,"中国,浙江省,绍兴市,柯桥区",Keqiao,3,575,312030,120.492.736,3.008.763,,
330604,330600,上虞区,上虞,"中国,浙江省,绍兴市,上虞区",Shangyu,3,575,312300,120.476.075,30.078.038,,
330624,330600,新昌县,新昌,"中国,浙江省,绍兴市,新昌县",Xinchang,3,575,312500,12.090.435,2.949.991,,
330681,330600,诸暨市,诸暨,"中国,浙江省,绍兴市,诸暨市",Zhuji,3,575,311800,12.023.629,2.971.358,,
330683,330600,嵊州市,嵊州,"中国,浙江省,绍兴市,嵊州市",Shengzhou,3,575,312400,12.082.174,2.958.854,,
330700,330000,金华市,金华,"中国,浙江省,金华市",Jinhua,2,579,321000,119.649.506,29.089.524,1A7,
330702,330700,婺城区,婺城,"中国,浙江省,金华市,婺城区",Wucheng,3,579,321000,11.957.135,2.909.521,,
330703,330700,金东区,金东,"中国,浙江省,金华市,金东区",Jindong,3,579,321000,11.969.302,290.991,,
330723,330700,武义县,武义,"中国,浙江省,金华市,武义县",Wuyi,3,579,321200,1.198.164,2.889.331,,
330726,330700,浦江县,浦江,"中国,浙江省,金华市,浦江县",Pujiang,3,579,322200,11.989.181,2.945.353,,
330727,330700,磐安县,磐安,"中国,浙江省,金华市,磐安县",Pan'an,3,579,322300,12.045.022,2.905.733,,
330781,330700,兰溪市,兰溪,"中国,浙江省,金华市,兰溪市",Lanxi,3,579,321100,11.945.965,2.920.841,,
330782,330700,义乌市,义乌,"中国,浙江省,金华市,义乌市",Yiwu,3,579,322000,1.200.744,2.930.558,,
330783,330700,东阳市,东阳,"中国,浙江省,金华市,东阳市",Dongyang,3,579,322100,12.024.185,2.928.942,,
330784,330700,永康市,永康,"中国,浙江省,金华市,永康市",Yongkang,3,579,321300,12.004.727,2.888.844,,
330800,330000,衢州市,衢州,"中国,浙江省,衢州市",Quzhou,2,570,324002,11.887.263,28.941.708,1A7,
330802,330800,柯城区,柯城,"中国,浙江省,衢州市,柯城区",Kecheng,3,570,324100,11.887.109,2.896.858,,
330803,330800,衢江区,衢江,"中国,浙江省,衢州市,衢江区",Qujiang,3,570,324022,1.189.598,2.897.977,,
330822,330800,常山县,常山,"中国,浙江省,衢州市,常山县",Changshan,3,570,324200,11.851.025,2.890.191,,
330824,330800,开化县,开化,"中国,浙江省,衢州市,开化县",Kaihua,3,570,324300,11.841.616,2.913.785,,
330825,330800,龙游县,龙游,"中国,浙江省,衢州市,龙游县",Longyou,3,570,324400,11.917.221,2.902.823,,
